name,tags,rating
New Kingdom,"['constructive algorithms', 'graphs', 'implementation']",2800.0
Maximum Distance To Port,"['graphs', 'shortest paths']",1300.0
Maximum Color Segment,"['dp', 'implementation']",2300.0
Kindergarten Homework,"['implementation', 'strings']",2100.0
Sliding Tiles,"['data structures', 'divide and conquer', 'dsu']",2300.0
Birthday,['geometry'],2000.0
Shuffling Cards with Problem Solver 68!,"['hashing', 'string suffix structures', 'strings']",2500.0
Gene Editor,[],3300.0
Cluster Computing System,"['graphs', 'greedy', 'math']",1600.0
Number Maze,['implementation'],1200.0
Divisor Card Game,"['combinatorics', 'dp']",3100.0
Circles Are Far from Each Other,"['binary search', 'greedy']",3100.0
Buses,"['greedy', 'sortings']",1800.0
ASCII Art Contest,['implementation'],800.0
Shiori Miyagi and Maximum Array Score,"['binary search', 'data structures', 'dp', 'sortings']",2400.0
Sakura Adachi and Optimal Sequences,"['bitmasks', 'combinatorics', 'greedy', 'math']",2000.0
Rae Taylor and Trees (hard version),"['binary search', 'constructive algorithms', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'trees']",1600.0
Anisphia Wynn Palettia and Good Permutations,"['constructive algorithms', 'greedy', 'number theory']",2000.0
Rae Taylor and Trees (easy version),"['binary search', 'data structures', 'dp', 'dsu', 'greedy', 'implementation', 'trees']",1400.0
Renako Amaori and XOR Game (hard version),"['bitmasks', 'games', 'greedy']",1400.0
Renako Amaori and XOR Game (easy version),"['bitmasks', 'games', 'greedy']",1100.0
Yuu Koito and Minimum Absolute Sum,['math'],900.0
Shizuku Hoshikawa and Farm Legs,"['brute force', 'math']",800.0
Subsequence Problem,"['combinatorics', 'dp', 'fft', 'math']",2700.0
Points Selection,"['dp', 'greedy']",2400.0
Removal of a Sequence (Hard Version),"['binary search', 'divide and conquer', 'greedy', 'implementation', 'math', 'number theory']",2100.0
Removal of a Sequence (Easy Version),"['binary search', 'implementation', 'math', 'number theory']",1500.0
Range Operation,"['dp', 'greedy', 'math', 'two pointers']",1300.0
Drifting Away,"['greedy', 'implementation']",1100.0
Alice and Bob,"['greedy', 'implementation']",900.0
Mukhammadali and the Smooth Array,"['data structures', 'dp']",1600.0
"Tree, TREE!!!","['dfs and similar', 'dp', 'math', 'trees']",1600.0
khba Loves to Sleep!,"['binary search', 'data structures', 'geometry', 'greedy', 'implementation']",1600.0
Yet Another Array Problem,"['brute force', 'implementation', 'math', 'number theory']",1000.0
